ACTIVE U.S. SKI AREAS - 2025-26,,CORE STATS,,,CLASSIFICATION (Current year totals),,PASS AFFILIATIONS,RECENT OPERATING HISTORY,,,,LIFT FLEETS,,,,,,,,,,,,,,,,,,
,,Avg.,Total,Avg.,Public w/Aerial Lifts Total,370,,Annual Totals,,,,National Totals,,,,,,,,,,,,,,,,,,
,,963,"244,141",164,Public - Surface Lifts Only Total,92,,491,499,509,324,12,50,6,3,5,112,6,382,406,505,2,524,2,91,7,59,389,633,3192
,,,,,Private w/Aerial Lifts Total,19,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Private - Surface Lifts Only Total,22,,,,,,,,,,,,,,,,,,,,,,,,
LOCATION,MOUNTAIN,"Lift-Served Vertical 
Drop (feet)","Lift-Served 
Skiable Acres","Average Annual Snow
(claimed, inches)","OPERATING
CLASS",OWNER,PASS AFFILIATIONS,"OPERATED
23/24?","OPERATED
24/25?","ANTICIPATE
OPERATING
25/26?","CONFIRMED
OPERATING
25/26?",Tram,Gondola,Pulse Gondola,Cabriolet,8-pack,6-pack,Chondola,Detach Quad,Fixed Quad,Triple,Detach Triple,Double,Single,T-Bar,J-Bar,Poma/platter,Ropetow,Carpet,TOTAL LIFTS
,Powderhorn,"1,650","1,600",225,Public w/Aerial Lifts,Pacific Group Resorts,"Indy, Indy+, Colorado Gems Pass, Colorado Gems Discount Card, Ski Colorado Kids Passport, Colorado Gold Pass",Yes,Yes,Yes,Yes,0,,,,,,,1,,,,2,,,,,,2,5
,Purgatory,"2,029","1,635",261,Public w/Aerial Lifts,Mountain Capital Partners,"Power Pass Full, Power Pass Select, Power Pass Core, Weekday Power Pass, Colorado Gems Pass, Colorado Gems Discount Card, Ski Colorado Kids Passport, Colorado Gold Pass",Yes,Yes,Yes,Yes,0,,,,,1,,2,,3,,3,,,,,,2,11
,Silverton (unguided),"1,900","1,819",294,Public w/Aerial Lifts,Independent,,Yes,Yes,Yes,,0,,,,,,,,,,,1,,,,,,,1
,Ski Cooper,"1,200",480,260,Public w/Aerial Lifts,Independent,"Powder Alliance, Freedom, Colorado Gems Pass, Colorado Gems Discount Card, Ski Colorado Kids Passport, Colorado Gold Pass",Yes,Yes,Yes,Yes,0,,,,,,,,,1,,1,,1,,1,,1,5
,Snowmass,"4,400","3,342",301,Public w/Aerial Lifts,Aspen Skiing Company,"Ikon, Mountain Collective, Aspen-Snowmass, Ski Colorado Kids Passport, Colorado Gold Pass",Yes,Yes,Yes,Yes,0,1,1,,,3,,6,2,,,1,,1,,3,,2,20
,Steamboat,"3,668","3,741",370,Public w/Aerial Lifts,Alterra ,"Ikon, Ikon Base, Ikon Session, Ski Colorado Kids Passport, Colorado Gold Pass",Yes,Yes,Yes,Yes,0,2,1,,,1,,8,,4,,2,,,,,1,6,25
,Sunlight,"2,010",730,227,Public w/Aerial Lifts,Independent,"Indy, Indy+, Colorado Gems Pass, Colorado Gems Discount Card, Ski Colorado Kids Passport, Colorado Gold Pass, Indy Learn-To-Turn",Yes,Yes,Yes,Yes,0,,,,,,,,1,2,,,,,,,,7,10
,Telluride,"3,790","2,000",276,Public w/Aerial Lifts,Independent,"Epic, Epic Day All, Ski Colorado Kids Passport, Colorado Gold Pass",Yes,Yes,Yes,Yes,0,2,,,,,1,7,1,1,,2,,,,2,,3,19
,Vail Mountain    ,"3,450","5,317",354,Public w/Aerial Lifts,Vail Resorts,"Epic, Epic Local, Epic Tahoe Local, Epic Day All, Epic School Kids",Yes,Yes,Yes,Yes,0,2,,,,4,,14,1,2,,,,1,,3,,5,32
,Winter Park,"3,060","3,081",349,Public w/Aerial Lifts,Alterra ,"Ikon, Ikon Base, Ikon Session, Ski Colorado Kids Passport, Colorado Gold Pass",Yes,Yes,Yes,Yes,0,1,,1,,4,,5,,3,,6,,,,1,,3,24
,Wolf Creek,"1,604","1,600",384,Public w/Aerial Lifts,Independent,,Yes,Yes,Yes,Yes,0,,,,,,,3,2,2,,1,,,,1,,2,11
U.S. - Connecticut,Lakeridge,163,,,Private w/Aerial Lifts,Independent,,Yes,Yes,Yes,,0,,,,,,,,,,,1,,,,,,,1
,Mohawk Mountain,650,107,92,Public w/Aerial Lifts,Independent,"Indy, Indy+",Yes,Yes,Yes,Yes,0,,,,,,,,,5,,,,,,,,3,8
,Mount Southington,354,51,40,Public w/Aerial Lifts,Independent,"Freedom, Snow Triple Play",Yes,Yes,Yes,,0,,,,,,,,,3,,1,,,,,,3,7
,Powder Ridge,550,80,38,Public w/Aerial Lifts,Independent,,Yes,Yes,Yes,,0,,,,,,,,,1,,2,,,,,,2,5
,Ski Sundown,625,65,45,Public w/Aerial Lifts,Independent,,Yes,Yes,Yes,Yes,0,,,,,,,,1,2,,,,,,,,2,5
U.S. - Idaho,Bald Mountain,684,140,200,Public - Surface Lifts Only,Independent,Ski Idaho Kids Passport,Yes,Yes,Yes,,0,,,,,,,,,,,,,1,,,1,,2
,Bogus Basin,"1,800","2,600",248,Public w/Aerial Lifts,Independent,"Powder Alliance, Freedom, Ski Idaho Kids Passport",Yes,Yes,Yes,Yes,0,,,,,,,4,2,,,1,,,,,,3,10
,Brundage,"1,921","1,920",297,Public w/Aerial Lifts,Independent,"Indy, Indy+, Ski Idaho Kids Passport",Yes,Yes,Yes,Yes,0,,,,,,,2,,3,,,,,,,,1,6
,Chipmunk Hills,301,30,,Public - Surface Lifts Only,Independent,,Yes,Yes,Yes,,0,,,,,,,,,,,,,,,,1,,1
,Cottonwood Butte,640,260,45,Public - Surface Lifts Only,Independent,Ski Idaho Kids Passport,Yes,Yes,Yes,,0,,,,,,,,,,,,,1,,,,,1
,Gateway Parks: Eagle Island,N/A,,,Public - Surface Lifts Only,Gateway,,Yes,Yes,Yes,,0,,,,,,,,,,,,,,,,,1,1
,Gateway Parks: Idaho Falls,N/A,,,Public - Surface Lifts Only,Gateway,,Yes,Yes,Yes,,0,,,,,,,,,,,,,,,,,1,1
,Kelly Canyon,"1,200",640,250,Public w/Aerial Lifts,Independent,"Indy, Indy+, Indy Learn-To-Turn",Yes,Yes,Yes,Yes,0,,,,,,,,,1,,2,,,,,,1,4
,Little Ski Hill,393,40,150,Public - Surface Lifts Only,Independent,"Indy, Indy+, Ski Idaho Kids Passport",Yes,Yes,Yes,,0,,,,,,,,,,,,,1,,,,,1
,Lookout Pass,"1,650","1,023",415,Public w/Aerial Lifts,Independent,Ski Idaho Kids Passport,Yes,Yes,Yes,Yes,0,,,,,,,,2,2,,1,,,,,,,5
,Magic Mountain,740,120,230,Public w/Aerial Lifts,Independent,"Indy, Indy+, Ski Idaho Kids Passport",Yes,Yes,Yes,,0,,,,,,,,,,,1,,,,,,2,3
,Pebble Creek,"2,200","1,100",225,Public w/Aerial Lifts,Independent,Ski Idaho Kids Passport,Yes,Yes,Yes,,0,,,,,,,,,3,,,,,,,,1,4
,Pomerelle,"1,002",500,325,Public w/Aerial Lifts,Independent,"Indy, Indy+, Ski Idaho Kids Passport",Yes,Yes,Yes,,0,,,,,,,,,2,,,,,,,,1,3
,Rotarun,485,,100,Public - Surface Lifts Only,Independent,,Yes,Yes,Yes,,0,,,,,,,,,,,,,,,1,1,1,3
,Schweitzer,"2,429","2,900",271,Public w/Aerial Lifts,Alterra ,"Ikon, Ikon Base, Ikon Session, Ski Idaho Kids Passport",Yes,Yes,Yes,Yes,0,,,,,1,,4,,2,,1,,1,,,,1,10
,Silver Mountain,"2,200","1,600",328,Public w/Aerial Lifts,CMR Lands,"Indy, Indy+, Powder Alliance, Silver/49 North, Ski Idaho Kids Passport",Yes,Yes,Yes,Yes,0,1,,,,,,,1,2,,2,,,,,,,6
,Snowhaven,400,40,60,Public - Surface Lifts Only,Independent,Ski Idaho Kids Passport,Yes,Yes,Yes,,0,,,,,,,,,,,,,1,,,,,1
,Soldier Mountain,"1,421","1,142",175,Public w/Aerial Lifts,Independent,"Indy, Indy+, Indy Learn-To-Turn, Ski Idaho Kids Passport",Yes,Yes,Yes,,0,,,,,,,,,,,2,,,,,,1,3
,Sun Valley: Bald ,"3,400","2,533",193,Public w/Aerial Lifts,Holding Family,"Ikon, Mountain Collective, Ski Idaho Kids Passport",Yes,Yes,Yes,Yes,0,1,,,,2,,6,,2,,,,,,,,1,12
,Sun Valley: Dollar ,628,296,,Public w/Aerial Lifts,Holding Family,"Ikon, Mountain Collective, Ski Idaho Kids Passport",Yes,Yes,Yes,,0,,,,,,,2,,1,,1,,,,,,1,5
,Tamarack,"2,800","1,100",275,Public w/Aerial Lifts,Independent,"Indy, Indy+, Ski Idaho Kids Passport",Yes,Yes,Yes,,0,,,,,,,3,2,,,,,,,1,,1,7
U.S. - Illinois,Alpine Hills Adventure Park,N/A,,,Public - Surface Lifts Only,Independent,,Yes,Yes,Yes,,0,,,,,,,,,,,,,,,,,1,1
,Chestnut,475,220,34,Public w/Aerial Lifts,Independent,"Indy, Indy+, Indy Learn-To-Turn",Yes,Yes,Yes,Yes,0,,,,,,,,2,4,,,,,,,1,2,9
,Fourlakes,100,9,24,Public - Surface Lifts Only,Independent,,Yes,Yes,Yes,Yes,0,,,,,,,,,,,,,,,,7,,7
,Snowstar,262,28,39,Public w/Aerial Lifts,Independent,"Indy, Indy+",Yes,Yes,Yes,Yes,0,,,,,,,,2,,,2,,,,,,1,5
,Villa Olivia,180,15,25,Public w/Aerial Lifts,Independent,,Yes,Yes,Yes,Yes,0,,,,,,,,1,,,,,,,,6,,7
U.S. - Indiana,Paoli Peaks,300,65,18,Public w/Aerial Lifts,Vail Resorts,"Epic, Epic Local, Epic Day All, Epic Day 32, Epic Day 22",Yes,Yes,Yes,,0,,,,,,,,1,3,,1,,,,,,2,7
,Perfect North,400,100,10,Public w/Aerial Lifts,Perfect Family,Perfect Pass,Yes,Yes,Yes,Yes,0,,,,,,,,3,2,,,,,,,2,5,12
U.S. - Iowa,Crescent Hill at Hitchcock,300,50,30,Public w/Aerial Lifts,Independent,,Yes,Yes,Yes,Yes,0,,,,,,,,1,,,1,,,,,,,2
,Seven Oaks,240,35,40,Public w/Aerial Lifts,Independent,Freedom,Yes,Yes,Yes,Yes,0,,,,,,,,,2,,,,,,,3,,5
,Sundown,475,85,50,Public w/Aerial Lifts,Independent,"Indy, Indy+, Indy Learn-To-Turn",Yes,Yes,Yes,Yes,0,,,,,,,,1,1,,2,,,,,,2,6
